"id","name","code","created_at","updated_at","deleted_at"
2,"AMAZONAS","010000","2025-10-28 18:06:57","2025-10-28 18:06:57",NULL
3,"ANCASH","020000","2025-10-28 18:07:40","2025-10-28 18:07:40",NULL
4,"APURIMAC","030000","2025-10-28 18:09:08","2025-10-28 18:09:08",NULL
5,"AREQUIPA","040000","2025-10-28 18:09:49","2025-10-28 18:09:49",NULL
6,"AYACUCHO","050000","2025-10-28 18:10:40","2025-10-28 18:10:40",NULL
7,"CAJAMARCA","060000","2025-10-28 18:11:41","2025-10-28 18:11:41",NULL
8,"CALLAO","240000","2025-10-28 18:12:44","2025-10-28 18:12:44",NULL
9,"CUSCO","070000","2025-10-28 18:12:47","2025-10-28 18:12:47",NULL
10,"HUANCAVELICA","080000","2025-10-28 18:13:46","2025-10-28 18:13:46",NULL
11,"HUANUCO","090000","2025-10-28 18:14:35","2025-10-28 18:14:35",NULL
12,"ICA","100000","2025-10-28 18:15:18","2025-10-28 18:15:18",NULL
13,"JUNIN","110000","2025-10-28 18:15:40","2025-10-28 18:15:40",NULL
14,"LA LIBERTAD","120000","2025-10-28 18:16:40","2025-10-28 18:16:40",NULL
15,"LAMBAYEQUE","130000","2025-10-28 18:17:24","2025-10-28 18:17:24",NULL
16,"LIMA","140000","2025-10-28 18:17:43","2025-10-28 18:17:43",NULL
17,"LORETO","150000","2025-10-28 18:19:05","2025-10-28 18:19:05",NULL
18,"MADRE DE DIOS","160000","2025-10-28 18:19:32","2025-10-28 18:19:32",NULL
19,"MOQUEGUA","170000","2025-10-28 18:19:39","2025-10-28 18:19:39",NULL
20,"PASCO","180000","2025-10-28 18:19:52","2025-10-28 18:19:52",NULL
21,"PIURA","190000","2025-10-28 18:20:06","2025-10-28 18:20:06",NULL
22,"PUNO","200000","2025-10-28 18:20:40","2025-10-28 18:20:40",NULL
23,"SAN MARTIN","210000","2025-10-28 18:21:37","2025-10-28 18:21:37",NULL
24,"TACNA","220000","2025-10-28 18:22:19","2025-10-28 18:22:19",NULL
25,"TUMBES","230000","2025-10-28 18:22:34","2025-10-28 18:22:34",NULL
26,"UCAYALI","250000","2025-10-28 18:22:41","2025-10-28 18:22:41",NULL
