"id","name","code","department_id","province_id","created_at","updated_at","deleted_at"
1,"CHACHAPOYAS","010101",2,1,"2025-10-28 18:07:00","2025-10-28 18:07:00",NULL
2,"ASUNCION","010102",2,1,"2025-10-28 18:07:00","2025-10-28 18:07:00",NULL
3,"BALSAS","010103",2,1,"2025-10-28 18:07:01","2025-10-28 18:07:01",NULL
4,"CHETO","010104",2,1,"2025-10-28 18:07:01","2025-10-28 18:07:01",NULL
5,"CHILIQUIN","010105",2,1,"2025-10-28 18:07:02","2025-10-28 18:07:02",NULL
6,"CHUQUIBAMBA","010106",2,1,"2025-10-28 18:07:02","2025-10-28 18:07:02",NULL
7,"GRANADA","010107",2,1,"2025-10-28 18:07:02","2025-10-28 18:07:02",NULL
8,"HUANCAS","010108",2,1,"2025-10-28 18:07:03","2025-10-28 18:07:03",NULL
9,"LA JALCA","010109",2,1,"2025-10-28 18:07:03","2025-10-28 18:07:03",NULL
10,"LEIMEBAMBA","010110",2,1,"2025-10-28 18:07:04","2025-10-28 18:07:04",NULL
11,"LEVANTO","010111",2,1,"2025-10-28 18:07:04","2025-10-28 18:07:04",NULL
12,"MAGDALENA","010112",2,1,"2025-10-28 18:07:05","2025-10-28 18:07:05",NULL
13,"MARISCAL CASTILLA","010113",2,1,"2025-10-28 18:07:05","2025-10-28 18:07:05",NULL
14,"MOLINOPAMPA","010114",2,1,"2025-10-28 18:07:05","2025-10-28 18:07:05",NULL
15,"MONTEVIDEO","010115",2,1,"2025-10-28 18:07:06","2025-10-28 18:07:06",NULL
16,"OLLEROS","010116",2,1,"2025-10-28 18:07:06","2025-10-28 18:07:06",NULL
17,"QUINJALCA","010117",2,1,"2025-10-28 18:07:07","2025-10-28 18:07:07",NULL
18,"SAN FRANCISCO DE DAG","010118",2,1,"2025-10-28 18:07:07","2025-10-28 18:07:07",NULL
19,"SAN ISIDRO DE MAINO","010119",2,1,"2025-10-28 18:07:07","2025-10-28 18:07:07",NULL
20,"SOLOCO","010120",2,1,"2025-10-28 18:07:08","2025-10-28 18:07:08",NULL
21,"SONCHE","010121",2,1,"2025-10-28 18:07:08","2025-10-28 18:07:08",NULL
22,"BAGUA","010205",2,2,"2025-10-28 18:07:09","2025-10-28 18:07:09",NULL
23,"ARAMANGO","010202",2,2,"2025-10-28 18:07:10","2025-10-28 18:07:10",NULL
24,"COPALLIN","010203",2,2,"2025-10-28 18:07:10","2025-10-28 18:07:10",NULL
25,"EL PARCO","010204",2,2,"2025-10-28 18:07:11","2025-10-28 18:07:11",NULL
26,"IMAZA","010206",2,2,"2025-10-28 18:07:12","2025-10-28 18:07:12",NULL
27,"LA PECA","010201",2,2,"2025-10-28 18:07:12","2025-10-28 18:07:12",NULL
28,"JUMBILLA","010301",2,3,"2025-10-28 18:07:13","2025-10-28 18:07:13",NULL
29,"CHISQUILLA","010304",2,3,"2025-10-28 18:07:13","2025-10-28 18:07:13",NULL
30,"CHURUJA","010305",2,3,"2025-10-28 18:07:14","2025-10-28 18:07:14",NULL
31,"COROSHA","010302",2,3,"2025-10-28 18:07:14","2025-10-28 18:07:14",NULL
