"id","name","code","department_id","created_at","updated_at","deleted_at"
1,"CHACHAPOYAS","010100",2,"2025-10-28 18:07:00","2025-10-28 18:07:00",NULL
2,"BAGUA","010200",2,"2025-10-28 18:07:09","2025-10-28 18:07:09",NULL
3,"BONGARA","010300",2,"2025-10-28 18:07:13","2025-10-28 18:07:13",NULL
4,"CONDORCANQUI","010600",2,"2025-10-28 18:07:18","2025-10-28 18:07:18",NULL
5,"LUYA","010400",2,"2025-10-28 18:07:20","2025-10-28 18:07:20",NULL
6,"RODRIGUEZ DE MENDOZA","010500",2,"2025-10-28 18:07:30","2025-10-28 18:07:30",NULL
7,"UTCUBAMBA","010700",2,"2025-10-28 18:07:37","2025-10-28 18:07:37",NULL
8,"HUARAZ","020100",3,"2025-10-28 18:07:41","2025-10-28 18:07:41",NULL
9,"AIJA","020200",3,"2025-10-28 18:07:47","2025-10-28 18:07:47",NULL
10,"ANTONIO RAYMONDI","021600",3,"2025-10-28 18:07:50","2025-10-28 18:07:50",NULL
11,"ASUNCION","021800",3,"2025-10-28 18:07:53","2025-10-28 18:07:53",NULL
12,"BOLOGNESI","020300",3,"2025-10-28 18:07:56","2025-10-28 18:07:56",NULL
13,"CARHUAZ","020400",3,"2025-10-28 18:08:05","2025-10-28 18:08:05",NULL
14,"CARLOS FERMIN FITZCA","021700",3,"2025-10-28 18:08:10","2025-10-28 18:08:10",NULL
15,"CASMA","020500",3,"2025-10-28 18:08:12","2025-10-28 18:08:12",NULL
16,"CORONGO","020600",3,"2025-10-28 18:08:14","2025-10-28 18:08:14",NULL
17,"HUARI","020800",3,"2025-10-28 18:08:17","2025-10-28 18:08:17",NULL
18,"HUARMEY","021900",3,"2025-10-28 18:08:25","2025-10-28 18:08:25",NULL
19,"HUAYLAS","020700",3,"2025-10-28 18:08:28","2025-10-28 18:08:28",NULL
20,"MARISCAL LUZURIAGA","020900",3,"2025-10-28 18:08:33","2025-10-28 18:08:33",NULL
21,"OCROS","022000",3,"2025-10-28 18:08:37","2025-10-28 18:08:37",NULL
22,"PALLASCA","021000",3,"2025-10-28 18:08:42","2025-10-28 18:08:42",NULL
23,"POMABAMBA","021100",3,"2025-10-28 18:08:48","2025-10-28 18:08:48",NULL
24,"RECUAY","021200",3,"2025-10-28 18:08:50","2025-10-28 18:08:50",NULL
25,"SANTA","021300",3,"2025-10-28 18:08:55","2025-10-28 18:08:55",NULL
